row_id,card_id_example,slug,discipline_scope,ipsc_anchor,fpsu_section,delta_type,summary_uk,evidence_url,priority,batch
META-01,,,all,n/a (5 PDF Jan 2026),єдиний документ 2020 на upsf.org.ua,wording_only,"Структура та нумерація різні: IPSC — п’ять rulebook за дисципліною; ФПСУ — один документ з римськими частинами. Зміст тем для карток потрібно звіряти вручну, без автоприв’язки §.",https://upsf.org.ua/rules/upsf/2020/index?type=rules,P1,—
META-02,,,all,Ch.1–12 per discipline,III–XII + додатки,wording_only,"Назви глав IPSC (англ.) відповідають блокам ФПСУ лише змістово; номери пунктів не переносити механічно.",RO_HELPER_IPSC_FPSU_TOPIC_MAP §7; https://upsf.org.ua/rules/upsf/2020/index?type=rules,P1,—
META-03,,,all,Glossary in rulebook,XIV п.2 «Словник термінів» (відсилка до МКПС),needs_legal_review,"У ФПСУ тлумачення термінів може відсилати до Правил МКПС; це впливає на UK-термінологію карток і глосарій.",https://upsf.org.ua/rules/upsf/2020/14-other#2-%D1%81%D0%BB%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA-%D1%82%D0%B5%D1%80%D0%BC%D1%96%D0%BD%D1%96%D0%B2,P1,B0-glossary
META-04,,,all,n/a,XIII стрілецьке багатоборство,no_direct_mapping,"Теми multigun / змішаних вправ у ФПСУ винесені в окрему частину; у IPSC немає прямого «одного розділу» — картки міжнародного IPSC-формату не покривають національний multigun без окремого регламенту.",https://upsf.org.ua/rules/upsf/2020/13-multigun,P3,—
META-05,,,all,Appendix / division split,VII + додатки 1–5,needs_legal_review,"Дивізіони та обладнання: таблиці та додатки в PDF IPSC vs розділи VII/додатки ФПСУ — лише після порівняння таблиць у рев’ю.",https://upsf.org.ua/rules/upsf/2020/07-firearms-and-equipment,P2,—
META-06,,,handgun,10.2.12 відсутній у HG PDF,XI (процедурні/DQ),needs_legal_review,"У long gun є 10.2.12 (інший зміст ніж shotgun); у handgun правила немає — для ФПСУ треба перевірити чи є окремий аналог у XI/IX, чи тема лише для міжнародного long-gun контенту.",RO_HELPER_IPSC_FPSU_TOPIC_MAP §2.2; https://upsf.org.ua/rules/upsf/2020/11-penalties-and-disqualifications,P2,—
T-SAFE-01,C105,break-180,all×5,10.5.2,II п.7; IV §4 зони безпеки; XI,needs_legal_review,"Безпечний сектор/180°: IPSC Ch.8–10; у ФПСУ — загальні вимоги безпеки + зони (IV) + DQ (XI). Конкретну відмінність формулювань фіксувати лише після цитування обох первинників.",https://upsf.org.ua/rules/upsf/2020/02-general-conditions#7-%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%B2%D0%B8%D0%BC%D0%BE%D0%B3%D0%B8-%D0%B1%D0%B5%D0%B7%D0%BF%D0%B5%D0%BA%D0%B8-%D0%BF%D1%80%D0%B8-%D0%BA%D0%BE%D1%80%D0%B8%D1%81%D1%82%D1%83%D0%B2%D0%B0%D0%BD%D0%BD%D1%96-%D0%B7%D0%B1%D1%80%D0%BE%D1%94%D1%8E-%D0%BF%D1%96%D0%B4-%D1%87%D0%B0%D1%81-%D0%B7%D0%BC%D0%B0%D0%B3%D0%B0%D0%BD%D1%8C-%D0%B7-%D0%BF%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D0%BE%D1%97-%D1%81%D1%82%D1%80%D1%96%D0%BB%D1%8C%D0%B1%D0%B8,P1,B1-safety
T-SAFE-02,C110,accidental-discharge,all×5,10.4,XI §4 (AD),needs_legal_review,"Випадковий постріл (DQ): звірити підпункти IPSC 10.4 з відповідним блоком XI у ФПСУ.",https://upsf.org.ua/rules/upsf/2020/11-penalties-and-disqualifications#4-%D0%B4%D0%B8%D1%81%D0%BA%D0%B2%D0%B0%D0%BB%D1%96%D1%84%D1%96%D0%BA%D0%B0%D1%86%D1%96%D1%8F-%D0%B2%D0%B8%D0%BF%D0%B0%D0%B4%D0%BA%D0%BE%D0%B2%D0%B8%D0%B9-%D0%BF%D0%BE%D1%81%D1%82%D1%80%D1%96%D0%BB,P1,B1-safety
T-SAFE-03,C115,trigger-finger,all×5,10.5.9–10.5.11 (verify per PDF),XI §5 + IX (команди/рух),needs_legal_review,"Палець у скобі: номери 10.5.x уточнити по PDF дисципліни; у ФПСУ — DQ-розділ та контекст COF.",https://upsf.org.ua/rules/upsf/2020/11-penalties-and-disqualifications#5-%D0%B4%D0%B8%D1%81%D0%BA%D0%B2%D0%B0%D0%BB%D1%96%D1%84%D1%96%D0%BA%D0%B0%D1%86%D1%96%D1%8F-%D0%BD%D0%B5%D0%B1%D0%B5%D0%B7%D0%BF%D0%B5%D1%87%D0%BD%D0%B5-%D0%BF%D0%BE%D0%B2%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D1%96-%D0%B7%D0%B1%D1%80%D0%BE%D1%94%D1%8E,P1,B1-safety
T-SAFE-04,C120,dropped-gun,all×5,10.5.3,XI §5,needs_legal_review,"Впущена зброя (DQ): порівняти умови та винятки в IPSC та ФПСУ.",https://upsf.org.ua/rules/upsf/2020/11-penalties-and-disqualifications#5-%D0%B4%D0%B8%D1%81%D0%BA%D0%B2%D0%B0%D0%BB%D1%96%D1%84%D1%96%D0%BA%D0%B0%D1%86%D1%96%D1%8F-%D0%BD%D0%B5%D0%B1%D0%B5%D0%B7%D0%BF%D0%B5%D1%87%D0%BD%D0%B5-%D0%BF%D0%BE%D0%B2%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D1%96-%D0%B7%D0%B1%D1%80%D0%BE%D1%94%D1%8E,P1,B1-safety
T-SAFE-05,C125,unsafe-gun-handling,all×5,10.5.1,XI §5,needs_legal_review,"Загальне небезпечне поводження: широка норма — потрібна звірка переліку прикладів.",https://upsf.org.ua/rules/upsf/2020/11-penalties-and-disqualifications#5-%D0%B4%D0%B8%D1%81%D0%BA%D0%B2%D0%B0%D0%BB%D1%96%D1%84%D1%96%D0%BA%D0%B0%D1%86%D1%96%D1%8F-%D0%BD%D0%B5%D0%B1%D0%B5%D0%B7%D0%BF%D0%B5%D1%87%D0%BD%D0%B5-%D0%BF%D0%BE%D0%B2%D0%BE%D0%B4%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F-%D0%B7%D1%96-%D0%B7%D0%B1%D1%80%D0%BE%D1%94%D1%8E,P1,B1-safety
T-SAFE-06,C130,dq-general,all×5,10.3,XI §3 (DQ загальні),needs_legal_review,"Загальні підстави DQ: структура IPSC 10.3 vs ФПСУ XI.",https://upsf.org.ua/rules/upsf/2020/11-penalties-and-disqualifications#3-%D0%B4%D0%B8%D1%81%D0%BA%D0%B2%D0%B0%D0%BB%D1%96%D1%84%D1%96%D0%BA%D0%B0%D1%86%D1%96%D1%8F-%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D1%96-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0,P1,B1-safety
